,SampleName,position,ANA plate,GEN plate name,Sample - sampleFunction,Design Id,Colony#,Title,nr. ,Well,Coumaric acid,Glucose,Trehalose,Coumaric acid_normalization,batch_corrected_Coumaric_acid
0,Coum_Library1_Col001,A1,f31860,Plate 1,Transformant,Coum_Library1,Col001,f31860,1,A1,0.5683727211902735,0.0022475129571695564,0.012687770384153689,0.5651133634515377,1.0057676175251433
1,SHK0058,A2,f31860,Plate 1,Control,nan,,f31860,2,A2,0.5615365838996572,0.0004127684299048758,0.024087813597501135,0.5651133634515377,0.9936706866565062
2,Coum_Library1_Col002,A3,f31860,Plate 1,Transformant,Coum_Library1,Col002,f31860,3,A3,0.9005703836198511,0.0005152172135475591,0.04416744006436432,0.5651133634515377,1.5936101353531007
3,Coum_Library1_Col003,A4,f31860,Plate 1,Transformant,Coum_Library1,Col003,f31860,4,A4,0.4977549684786391,0.007204539153033014,0.04675561618576348,0.5651133634515377,0.8808055173894768
4,Coum_Library1_Col004,A5,f31860,Plate 1,Transformant,Coum_Library1,Col004,f31860,5,A5,0.3406660973838389,0.01529069079517164,0.031746131891774304,0.5651133634515377,0.6028278915634833
5,Coum_Library1_Col005,A6,f31860,Plate 1,Transformant,Coum_Library1,Col005,f31860,6,A6,0.6826806321167332,0.001557639788730316,0.023862959860608244,0.5651133634515377,1.2080419191419063
6,Coum_Library1_Col006,A7,f31860,Plate 1,Transformant,Coum_Library1,Col006,f31860,7,A7,0.3409504990220754,0.010152109680310672,0.04512713614580984,0.5651133634515377,0.6033311563181857
8,Coum_Library1_Col008,A9,f31860,Plate 1,Transformant,Coum_Library1,Col008,f31860,9,A9,0.8862717714192181,0.09353251067172572,0.037954151472411296,0.5651133634515377,1.5683079338385206
9,Coum_Library1_Col009,A10,f31860,Plate 1,Transformant,Coum_Library1,Col009,f31860,10,A10,0.7460334621530779,0.0017841238033724249,0.04245929423638236,0.5651133634515377,1.3201483284637547
10,Coum_Library1_Col010,A11,f31860,Plate 1,Transformant,Coum_Library1,Col010,f31860,11,A11,0.6645948822089265,0.0006067958124879734,0.016845581323896706,0.5651133634515377,1.1760381636523094
