,,Agos_lox_TEF1.pro-Shyg_KanMX.orf,Sc_ACT1.pro_0001-Sc_ARO7.orf,Sc_CCW12.pro_0001-Atha_CPR1.orf,Sc_CHO1.pro-Atha_C4H.orf,Sc_CHO1.pro-Sc_ARO2.orf,Sc_CLB1.pro-Sc_LEU2.orf,Sc_ENO2.pro-Atha_PAL1.orf,Sc_GCN4.pro-Sc_GAL83.orf,Sc_HEM13.pro-Sc_SNQ2.orf,Sc_HHF2.pro-Sc_NCE103.orf,Sc_HXT7.pro-Sc_HXT7.orf_0001,Sc_MYO4.pro-Sc_ARO4_OFP.orf_0001,Sc_PGK1.pro_0001-Atha_PAL1.orf,Sc_PRE3.pro-Sc_YJL045W.orf,Sc_RPL28.pro-Sc_ARO8.orf_0001,Sc_RPL28.pro-Sc_TKL1.orf_0001,Sc_RPL9A.pro-Sc_MIG1.orf,Sc_RPS3.pro-Sc_RKI1.orf_0002,Sc_RPS9A.pro-Atha_CPR1.orf,Sc_RPS9A.pro-Atha_PAL1.orf,Sc_TDH3.pro-Atha_C4H.orf,Sc_TIR4.pro-Sc_AUS1.orf,Sc_TPS1.pro-Sc_TPS1.orf,Sc_TRP1.pro-Sc_TRP1.orf,Sc_URA3.pro-Sc_URA3.orf,Spar_TEF1.pro-Ec_AROL.orf,Agos_lox_TEF1.pro-Sc_SOL4.orf,Sc_ACT1.pro_0001-Sc_FBA1.orf,Sc_ACT1.pro_0001-Sc_YHM2.orf,Sc_CDC19.pro-Sc_ADE1.orf,Sc_CHO1.pro-Sc_PHA2.orf,Sc_ENO2.pro-Sc_RKI1.orf_0002,Sc_GSY1.pro,Sc_LEU2.orf,Sc_PFY1.pro-Sc_YHM2.orf,Sc_PGK1.pro_0001-Sc_GND1.orf,Sc_PRE3.pro-Sc_GND1.orf,Sc_PXR1.pro-Sc_XKS1.orf,Sc_RPS3.pro-Sc_YHM2.orf,Sc_RPS9A.pro-Sc_TKL1.orf_0001,Sc_TDH3.pro-Atha_PAL1.orf,Sc_YKT6.pro-Sc_RCN1.orf,Sc_ACT1.pro_0001-Sc_TKL1.orf_0001,Sc_ENO2.pro-Sc_ENO2.orf,Sc_PRE3.pro-Sc_ARO1.orf,Sc_PRE3.pro-Sc_TKL1.orf_0001,Sc_PRE3.pro-Sc_YHM2.orf,Sc_TDH3.pro-Sc_ZWF1.orf,Sc_CHO1.pro-Atha_CPR1.orf,Sc_RPL28.pro-Sc_PHA2.orf,Sc_RPL8A.pro-Sc_ERG11.orf,Sc_RPS3.pro-Sc_FBA1.orf,Spar_TEF1.pro-Sc_ARO1.orf,Spar_TEF1.pro-Sc_ARO2.orf,Sc_PFY1.pro-Sc_RKI1.orf,Sc_PRE3.pro-Sc_PHA2.orf,Sc_RPS3.pro-Sc_SOL3.orf_0001,Sc_TDH3.pro-Sc_RKI1.orf_0002,Agos_lox_TEF1.pro-Sc_GND2.orf,Sc_ACT1.pro_0001-Sc_ARO8.orf_0001,Sc_ENO2.pro-Sc_TKL1.orf_0001,Sc_PGK1.pro_0001-Sc_SOL3.orf_0001,Sc_RPL8A.pro-Atha_PAL1.orf,Sc_ACT1.pro_0001-Sc_GND1.orf,Sc_CHO1.pro-Sc_FBA1.orf,Sc_ENO2.pro-Sc_GND2.orf,Sc_RPL8A.pro-Sc_TKL1.orf_0001,Sc_RPS9A.pro-Sc_ARO8.orf_0001,Spar_TEF1.pro-Atha_PAL1.orf,Agos_TEF1.pro_0003-Shyg_KanMX.orf,Sc_ENO2.pro-Sc_ARO2.orf,Sc_PFY1.pro-Sc_RKI1.orf_0002,Sc_PGK1.pro_0001-Atha_C4H.orf,Sc_PGK1.pro_0001-Sc_RKI1.orf_0002,Spar_TEF1.pro-Sc_PHA2.orf,Sc_ACT1.pro_0001-Sc_RKI1.orf_0002,Sc_ENO2.pro-Sc_SOL4.orf,Sc_PRE3.pro-Sc_ARO8.orf_0001,Sc_PRE3.pro-Sc_RKI1.orf_0002,Sc_RPS9A.pro-Sc_ARO2.orf,Sc_CHO1.pro-Sc_GND2.orf,Sc_PFY1.pro-Sc_ARO1.orf,Sc_PFY1.pro-Sc_PHA2.orf,Sc_PGK1.pro_0001-Sc_TKL1.orf_0001,Sc_RPL28.pro-Sc_ARO2.orf,Sc_ACT1.pro_0001-Sc_SOL3.orf_0001,Sc_PFY1.pro-Sc_TKL1.orf_0001,Sc_RPL28.pro-Sc_YHM2.orf,Sc_RPS3.pro-Sc_PHA2.orf,Sc_CHO1.pro-Sc_SOL4.orf,Sc_PFY1.pro-Sc_GND2.orf,Sc_PRE3.pro-Sc_SOL3.orf_0001,Spar_TEF1.pro-Sc_YHM2.orf,Sc_CCW12.pro-Sc_RSA3.orf,Sc_CHO1.pro-Sc_ARO8.orf_0001,Sc_RPL8A.pro-Sc_PHA2.orf,Sc_CHO1.pro-Sc_YHM2.orf,Sc_ENO2.pro-Sc_ARO4_OFP.orf_0001,Sc_ENO2.pro-Sc_PHA2.orf,Sc_RPL28.pro-Sc_SOL3.orf_0001,Sc_RPS3.pro-Sc_GND1.orf,Spar_TEF1.pro-Sc_ARO8.orf_0001,Sc_RPS3.pro-Sc_ARO8.orf_0001,Sc_TDH3.pro-Sc_ENO2.orf,Spar_TEF1.pro-Atha_C4H.orf,Sc_RPL8A.pro-Sc_RKI1.orf_0002,Sc_RPS9A.pro-Sc_ARO1.orf,Sc_PGK1.pro_0001-Sc_ARO1.orf,Sc_RPL8A.pro-Sc_ARO8.orf_0001,Sc_RPS9A.pro-Sc_YHM2.orf,Spar_TEF1.pro-Sc_GND2.orf,Sc_PRE3.pro-Sc_ARO2.orf,Sc_RPS3.pro-Sc_ENO2.orf,Sc_PRE3.pro-Sc_ZWF1.orf,Sc_RPS9A.pro-Sc_PHA2.orf,Sc_PGK1.pro_0001-Sc_ARO8.orf_0001,Sc_PGK1.pro_0001-Sc_ENO2.orf,Sc_PRE3.pro-Sc_ENO2.orf,Sc_RPS3.pro-Sc_ARO1.orf,Sc_PGK1.pro_0001-Sc_FBA1.orf,Sc_PFY1.pro-Sc_ARO2.orf,Sc_PGK1.pro_0001-Sc_ARO2.orf,Sc_TDH3.pro-Sc_ARO1.orf,Sc_TDH3.pro-Sc_TKL1.orf_0001,Sc_ACT1.pro_0001-Sc_ARO1.orf,Sc_RPL28.pro-Sc_GND1.orf,Sc_RPL8A.pro-Sc_FBA1.orf,Sc_RPL8A.pro-Sc_ZWF1.orf,Sc_RPS3.pro-Sc_TKL1.orf_0001,Sc_CHO1.pro-Atha_PAL1.orf,Sc_CHO1.pro-Sc_ARO4_OFP.orf_0001,Sc_RPL8A.pro-Atha_C4H.orf,Spar_TEF1.pro-Sc_SOL4.orf,Sc_ENO2.pro-Sc_YHM2.orf,Sc_ENO2.pro-Sc_ZWF1.orf,Sc_PGK1.pro_0001-Sc_ZWF1.orf,Sc_RPL28.pro-Sc_FBA1.orf,Sc_RPS3.pro-Sc_ZWF1.orf,Sc_TDH3.pro-Sc_YHM2.orf,Sc_CHO1.pro-Sc_ZWF1.orf,Sc_RPL28.pro-Sc_ENO2.orf,Spar_TEF1.pro-Sc_ARO4_OFP.orf_0001,Spar_TEF1.pro-Sc_ZWF1.orf,Sc_ENO2.pro-Sc_FBA1.orf,Sc_RPS9A.pro-Sc_ENO2.orf,Sc_PGK1.pro_0001-Sc_YHM2.orf,Sc_TDH3.pro-Sc_PHA2.orf,Spar_TEF1.pro-Sc_ENO2.orf,Agos_lox_TEF1.pro-Shyg_KanMX.orf_0003,Sc_ACT1.pro_0001-Sc_ENO2.orf,Sc_PRE3.pro-Sc_FBA1.orf,Sc_CHO1.pro-Sc_TKL1.orf_0001,Sc_RPS9A.pro-Sc_SOL4.orf,Sc_TDH3.pro-Sc_ARO4_OFP.orf_0001,Sc_PFY1.pro-Sc_ARO8.orf_0001,Sc_PGK1.pro_0001-Sc_ARO4_OFP.orf_0001,Sc_RPL28.pro-Sc_RKI1.orf_0002,Sc_TDH3.pro-Sc_FBA1.orf,Sc_RPL28.pro-Sc_ARO1.orf,Sc_ENO2.pro-Sc_ARO1.orf,Sc_RPS3.pro-Sc_ARO2.orf,Sc_CHO1.pro-Sc_RKI1.orf_0002,Sc_RPS9A.pro-Sc_ZWF1.orf,Sc_ACT1.pro_0001-Sc_ZWF1.orf,Sc_CHO1.pro-Sc_ARO1.orf,Sc_RPS9A.pro-Sc_GND2.orf,Sc_TDH3.pro-Sc_ARO8.orf_0001,Sc_CHO1.pro-Sc_ENO2.orf,Sc_RPS9A.pro-Sc_FBA1.orf,Spar_TEF1.pro-Sc_TKL1.orf_0001,Agos_TEF1.pro_0003-Sc_GND2.orf,Sc_VPS68.pro,Sc_ENO2.pro-Atha_C4H.orf,Sc_RPL28.pro-Sc_ZWF1.orf,Sc_MAL.pro-Sc_MAL33.orf,Sc_PGK1.pro_0001-Atha_CPR1.orf,Sc_MAL32.orf,Sc_ACT1.pro-Sc_AGX1.orf,Sc_PFY1.pro-Sc_GND1.orf,Sc_ENO2.pro-Sc_GND1.orf
Coum_Library1_Col275,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library4_Col009,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library4_Col166,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library1_Col568,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library3_Col663,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library3_Col645,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library1_Col629,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library1_Col417,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library4_Col664,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coum_Library1_Col010,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
