SampleName,SampleName,position,Unique ID,ANA plate,Coumaric Acid,Glucose,Trehalose,Tyrosine,Shikimate,FSP_nn,Sample - sampleFunction,Design Id,Colony#,Composition Names,Coumaric Acid_normalization,batch_corrected_Coumaric_acid
PAL_library_Col1,PAL_library_Col1,A01,f30859A01,f30859,0.062,0.0,0.0,,,101.858002,Transformant,PAL library,Col1,,0.27675,0.14672034557210978
PAL_library_Col10,PAL_library_Col10,C02,f30859C02,f30859,0.0,0.0,0.116,,,101.667999,Transformant,PAL library,Col10,,0.27675,0.0
PAL_library_Col103,PAL_library_Col103,H02,f30860H02,f30860,0.052,0.0,0.0,,,98.841499,Transformant,PAL library,Col103,,0.2655,0.128270001405032
PAL_library_Col104,PAL_library_Col104,A03,f30860A03,f30860,0.0,0.077,0.0,,,101.764,Transformant,PAL library,Col104,,0.2655,0.0
PAL_library_Col105,PAL_library_Col105,B03,f30860B03,f30860,0.0,0.0,0.062,,,99.210403,Transformant,PAL library,Col105,,0.2655,0.0
PAL_library_Col107,PAL_library_Col107,D03,f30860D03,f30860,0.166,0.0,0.0,,,101.515999,Transformant,PAL library,Col107,,0.2655,0.40947731217760214
PAL_library_Col108,PAL_library_Col108,E03,f30860E03,f30860,0.166,0.0,0.0,,,100.611,Transformant,PAL library,Col108,,0.2655,0.40947731217760214
PAL_library_Col109,PAL_library_Col109,F03,f30860F03,f30860,0.169,0.0,0.0,,,98.730598,Transformant,PAL library,Col109,,0.2655,0.41687750456635403
PAL_library_Col11,PAL_library_Col11,D02,f30859D02,f30859,0.0,0.0,0.099,,,102.218002,Transformant,PAL library,Col11,,0.27675,0.0
PAL_library_Col111,PAL_library_Col111,H03,f30860H03,f30860,0.0,0.0,0.072,,,97.998001,Transformant,PAL library,Col111,,0.2655,0.0
PAL_library_Col113,PAL_library_Col113,B04,f30860B04,f30860,0.054,0.0,0.0,,,100.984001,Transformant,PAL library,Col113,,0.2655,0.13320346299753322
PAL_library_Col118,PAL_library_Col118,H04,f30860H04,f30860,0.055,0.0,0.065,,,98.447197,Transformant,PAL library,Col118,,0.2655,0.13567019379378384
PAL_library_Col119,PAL_library_Col119,A05,f30860A05,f30860,0.0,0.0,0.075,,,102.125999,Transformant,PAL library,Col119,,0.2655,0.0
PAL_library_Col12,PAL_library_Col12,E02,f30859E02,f30859,0.169,0.0,0.0,,,102.345001,Transformant,PAL library,Col12,,0.27675,0.3999312645433315
PAL_library_Col123,PAL_library_Col123,E05,f30860E05,f30860,0.055,0.0,0.054,,,101.160004,Transformant,PAL library,Col123,,0.2655,0.13567019379378384
PAL_library_Col124,PAL_library_Col124,F05,f30860F05,f30860,0.168,0.101,0.0,,,99.2015,Transformant,PAL library,Col124,,0.2655,0.41441077377010344
PAL_library_Col126,PAL_library_Col126,H05,f30860H05,f30860,0.051,0.0,0.059,,,98.333397,Transformant,PAL library,Col126,,0.2655,0.12580327060878138
PAL_library_Col127,PAL_library_Col127,A06,f30860A06,f30860,0.153,0.0,0.0,,,100.694,Transformant,PAL library,Col127,,0.2655,0.3774098118263441
PAL_library_Col132,PAL_library_Col132,F06,f30860F06,f30860,0.0,0.0,0.06,,,97.1772,Transformant,PAL library,Col132,,0.2655,0.0
PAL_library_Col138,PAL_library_Col138,D07,f30860D07,f30860,0.052,0.0,0.0,,,101.098999,Transformant,PAL library,Col138,,0.2655,0.128270001405032
PAL_library_Col143,PAL_library_Col143,A08,f30860A08,f30860,0.055,0.0,0.053,,,100.342003,Transformant,PAL library,Col143,,0.2655,0.13567019379378384
PAL_library_Col148,PAL_library_Col148,G08,f30860G08,f30860,0.151,0.0,0.0,,,100.847,Transformant,PAL library,Col148,,0.2655,0.3724763502338429
PAL_library_Col15,PAL_library_Col15,H02,f30859H02,f30859,0.111,0.0,0.0,,,99.562698,Transformant,PAL library,Col15,,0.27675,0.26267674771780947
PAL_library_Col154,PAL_library_Col154,F09,f30860F09,f30860,0.152,0.0,0.0,,,97.302299,Transformant,PAL library,Col154,,0.2655,0.37494308103009355
PAL_library_Col155,PAL_library_Col155,G09,f30860G09,f30860,0.099,0.0,0.0,,,98.647598,Transformant,PAL library,Col155,,0.2655,0.24420634882881093
PAL_library_Col157,PAL_library_Col157,A10,f30860A10,f30860,0.056,0.0,0.051,,,101.821999,Transformant,PAL library,Col157,,0.2655,0.13813692459003446
PAL_library_Col16,PAL_library_Col16,A03,f30859A03,f30859,0.0,0.198,0.096,,,103.555,Transformant,PAL library,Col16,,0.27675,0.0
PAL_library_Col160,PAL_library_Col160,D10,f30860D10,f30860,0.151,0.0,0.0,,,99.732101,Transformant,PAL library,Col160,,0.2655,0.3724763502338429
PAL_library_Col161,PAL_library_Col161,E10,f30860E10,f30860,0.156,0.0,0.0,,,96.888901,Transformant,PAL library,Col161,,0.2655,0.384810004215096
PAL_library_Col163,PAL_library_Col163,G10,f30860G10,f30860,0.056,0.0,0.0,,,99.091003,Transformant,PAL library,Col163,,0.2655,0.13813692459003446
PAL_library_Col164,PAL_library_Col164,H10,f30860H10,f30860,0.154,0.0,0.0,,,97.102203,Transformant,PAL library,Col164,,0.2655,0.37987654262259474
PAL_library_Col165,PAL_library_Col165,A11,f30860A11,f30860,0.053,0.0,0.074,,,100.808998,Transformant,PAL library,Col165,,0.2655,0.1307367322012826
PAL_library_Col167,PAL_library_Col167,C11,f30860C11,f30860,0.136,0.0,0.0,,,101.291,Transformant,PAL library,Col167,,0.2655,0.3354753882900837
PAL_library_Col169,PAL_library_Col169,E11,f30860E11,f30860,0.0,0.0,0.0,,,99.204697,Transformant,PAL library,Col169,,0.2655,0.0
PAL_library_Col171,PAL_library_Col171,G11,f30860G11,f30860,0.0,0.0,0.0,,,99.379501,Transformant,PAL library,Col171,,0.2655,0.0
PAL_library_Col173,PAL_library_Col173,A12,f30860A12,f30860,0.0,0.0,0.064,,,101.046997,Transformant,PAL library,Col173,,0.2655,0.0
PAL_library_Col174,PAL_library_Col174,B12,f30860B12,f30860,0.163,0.0,0.0,,,99.535103,Transformant,PAL library,Col174,,0.2655,0.4020771197888503
PAL_library_Col175,PAL_library_Col175,C12,f30860C12,f30860,0.068,0.0,0.0,,,101.528,Transformant,PAL library,Col175,,0.2655,0.16773769414504186
PAL_library_Col178,PAL_library_Col178,B01,f30857B01,f30857,0.193,0.0,0.0,,,97.854698,Transformant,PAL library,Col178,,0.2845,0.44428466114613685
PAL_library_Col181,PAL_library_Col181,E01,f30857E01,f30857,0.053,0.0,0.0,,,100.166,Transformant,PAL library,Col181,,0.2845,0.12200563233546763
PAL_library_Col184,PAL_library_Col184,H01,f30857H01,f30857,0.0,0.0,0.0,,,100.336998,Transformant,PAL library,Col184,,0.2845,0.0
PAL_library_Col185,PAL_library_Col185,B02,f30857B02,f30857,0.0,0.0,0.087,,,97.899399,Transformant,PAL library,Col185,,0.2845,0.0
PAL_library_Col186,PAL_library_Col186,C02,f30857C02,f30857,0.063,0.0,0.129,,,99.723198,Transformant,PAL library,Col186,,0.2845,0.14502556296480112
PAL_library_Col189,PAL_library_Col189,F02,f30857F02,f30857,0.054,0.0,0.137,,,99.573502,Transformant,PAL library,Col189,,0.2845,0.12430762539840097
PAL_library_Col190,PAL_library_Col190,G02,f30857G02,f30857,0.21,0.0,0.0,,,99.7593,Transformant,PAL library,Col190,,0.2845,0.48341854321600375
PAL_library_Col192,PAL_library_Col192,A03,f30857A03,f30857,0.06,0.18,0.064,,,96.867798,Transformant,PAL library,Col192,,0.2845,0.1381195837760011
PAL_library_Col194,PAL_library_Col194,C03,f30857C03,f30857,0.055,0.0,0.072,,,99.8517,Transformant,PAL library,Col194,,0.2845,0.12660961846133434
PAL_library_Col197,PAL_library_Col197,F03,f30857F03,f30857,0.124,0.0,0.0,,,96.857903,Transformant,PAL library,Col197,,0.2845,0.28544713980373554
PAL_library_Col198,PAL_library_Col198,G03,f30857G03,f30857,0.064,0.0,0.096,,,96.1091,Transformant,PAL library,Col198,,0.2845,0.14732755602773448
PAL_library_Col199,PAL_library_Col199,H03,f30857H03,f30857,0.173,0.0,0.0,,,98.930496,Transformant,PAL library,Col199,,0.2845,0.3982447998874698
PAL_library_Col2,PAL_library_Col2,B01,f30859B01,f30859,0.0,0.0,0.101,,,102.272003,Transformant,PAL library,Col2,,0.27675,0.0
PAL_library_Col20,PAL_library_Col20,E03,f30859E03,f30859,0.06,0.0,0.054,,,101.265999,Transformant,PAL library,Col20,,0.27675,0.1419874311988159
