,FI
LEUM-TDH1,2.5245166276429702
YSA1-TDH1,2.534044419920561
CCW12-GPM1,2.6623582786069195
URA3-PGK1,2.8426246671475304
MYO4-TEF2,2.9255478788688953
PXR1-TDH3,3.105186023238872
VMA6-TDH1,3.492951704385221
PFY1-ADH1,3.9817193664738837
ACT1-ADH1,4.193596024216552
RPL28-PGK1,4.270771925563233
RPS3-GPM1,4.284330678764817
PRE3-ADH1,4.458648047081949
RPS9A-TDH1,4.489184876942867
TEF1PGK-PGK1,4.542474504543648
RPL8A-TEF2,4.548470603659785
CHO1-TDH3,4.584710868951872
PGK1-GPM1,4.602841700699399
ENO2-TDH1,4.665431341800474
TEF1-TEF1,4.904522569692463
TDH3-TEF2,5.090660534373165
