,FI
Sc_LEUM,2.52451662764297
Sc_PRE3,4.45864804708195
Sc_PGK1,4.6028417006994
Sc_ACT1,4.19359602421655
Sc_YSA1,2.53404441992056
Sc_RPL8A,4.54847060365979
Agos_lox_TEF1,4.90452256969246
Sc_MYO4,2.9255478788689
Sc_TDH3,5.09066053437317
Sc_ENO2,4.66543134180047
Sc_RPS3,4.28433067876482
Kl_URA3,2.84262466714753
Sc_PFY1,3.98171936647388
Sc_CHO1,4.58471086895187
Sc_CCW12,2.66235827860692
Spar_TEF1,4.54247450454365
Sc_RPL28,4.27077192556323
Sc_VMA6,3.49295170438522
Sc_PXR1,3.10518602323887
Sc_RPS9A,4.48918487694287
