,SampleName,batch_corrected_Coumaric_acid
0,Coum_Library1_Col043,2.060132377218571
1,Coum_Library1_Col055,1.8349548355622314
2,Coum_Library1_Col093,2.3283577470049863
3,Coum_Library1_Col212,2.1430720468047384
4,Coum_Library1_Col213,2.458049609171402
5,Coum_Library1_Col253,1.7185251377687154
7,Coum_Library1_Col356,2.277239485153721
9,Coum_Library1_Col368,1.9844008563900934
10,Coum_Library1_Col371,2.0071671802409004
11,Coum_Library1_Col373,1.9144929082542044
12,Coum_Library1_Col376,1.7455627804183156
13,Coum_Library1_Col391,1.9240330463135893
14,Coum_Library1_Col421,1.5319190697670013
15,Coum_Library1_Col424,2.0289915902208038
16,Coum_Library1_Col425,1.6227132802275142
17,Coum_Library1_Col488,2.761490516550061
18,Coum_Library2_Col316,2.1546682729180073
19,Coum_Library2_Col321,1.5211094525737399
20,Coum_Library2_Col358,2.405715478145769
21,Coum_Library2_Col369,2.048061953214647
23,Coum_Library2_Col435,2.147607594979244
24,Coum_Library2_Col476,1.6917908252544038
25,Coum_Library2_Col485,1.5439983775863448
26,Coum_Library2_Col524,1.934315328637134
27,Coum_Library2_Col592,1.8469821478926018
28,Coum_Library2_Col647,2.6210313536858743
32,Coum_Library3_Col036,1.8857377395671826
34,Coum_Library4_Col296,1.9986307372003116
35,Coum_Library4_Col318,2.066207482419198
36,Coum_Library4_Col364,2.099283551609952
37,Coum_Library4_Col631,1.8060027570776582
38,Coum_Library4_Col632,1.8359766814701257
40,Coum_Library3_Col606,1.5036441365466577
41,Coum_Library3_Col611,1.2910632572826202
42,Coum_Library3_Col621,1.3408581699455207
43,Coum_Library3_Col634,1.8691596599751865
44,Coum_Library3_Col641,1.4235220573345082
45,Coum_Library3_Col648,1.7097256634452251
46,Coum_Library3_Col650,1.3917065721550417
48,Coum_Library3_Col668,1.6095210890574396
49,Coum_Library3_Col669,1.5500670620149477
50,Coum_Library3_Col687,1.5889648485006538
51,Coum_Library3_Col688,1.552947386410978
52,Coum_Library4_Col095,1.4692513740492568
53,Coum_Library4_Col170,1.9040016544967386
56,Coum_Library1_Col547,2.3904080918601704
57,Coum_Library1_Col568,1.7427386831984928
58,Coum_Library1_Col593,1.130307815209253
59,Coum_Library1_Col614,1.9905448481770844
61,Coum_Library1_Col677,2.51256452660008
62,Coum_Library1_Col678,1.9783029102746141
64,Coum_Library2_Col034,2.4221607950661515
66,Coum_Library2_Col053,1.8192323794129066
67,Coum_Library2_Col060,1.7718152372386524
68,Coum_Library2_Col061,1.8493714191480304
69,Coum_Library2_Col077,1.2553701803475301
70,Coum_Library2_Col083,1.1629805006622258
72,Coum_Library2_Col154,1.619895480773898
73,Coum_Library2_Col168,1.9632348616728792
74,Coum_Library2_Col209,1.592627981664005
75,Coum_Library2_Col255,2.1801218002143634
76,Coum_Library2_Col264,1.7039718958605048
77,Coum_Library2_Col279,1.975944340540082
78,Coum_Library3_Col208,1.9764488663591282
80,Coum_Library3_Col288,1.8444231787773
81,Coum_Library3_Col308,2.162603377436652
82,Coum_Library3_Col363,1.9647377170127684
83,Coum_Library3_Col368,1.8600128816150578
85,Coum_Library3_Col372,2.0508819980226094
89,Coum_Library3_Col404,2.0623286353864687
90,Coum_Library3_Col411,1.6864609529022176
91,Coum_Library3_Col412,1.6977361304819873
92,Coum_Library3_Col445,1.9115614306706945
93,Coum_Library3_Col466,2.396969830406191
96,Coum_Library1_Col043,2.0335315509740726
97,Coum_Library1_Col055,1.8132619711085431
98,Coum_Library1_Col093,2.3222292285550985
99,Coum_Library1_Col212,2.1824150975478536
100,Coum_Library1_Col213,2.3497446969967712
101,Coum_Library1_Col253,1.794239648785148
103,Coum_Library1_Col356,2.0134793487688927
105,Coum_Library1_Col368,1.9638358985466384
106,Coum_Library1_Col371,2.162423017764899
107,Coum_Library1_Col373,1.7226490268902732
108,Coum_Library1_Col376,1.5198115262785443
109,Coum_Library1_Col391,1.797469432638209
110,Coum_Library1_Col421,1.4491277297064173
111,Coum_Library1_Col424,1.9447994493420606
112,Coum_Library1_Col425,1.7845752577353962
113,Coum_Library1_Col488,2.620037196533629
114,Coum_Library2_Col316,2.0048381563669904
115,Coum_Library2_Col321,1.380749944068014
116,Coum_Library2_Col358,1.84851164989968
117,Coum_Library2_Col369,1.7607246699813417
118,Coum_Library2_Col434,2.3518765014132397
119,Coum_Library2_Col435,2.09558977631233
120,Coum_Library2_Col476,1.7822581611121016
121,Coum_Library2_Col485,1.543103447395471
122,Coum_Library2_Col524,1.5865106114327854
123,Coum_Library2_Col592,1.4077191521531636
124,Coum_Library2_Col647,2.443373852232828
126,Coum_Library3_Col007,1.8481824226562313
127,Coum_Library3_Col017,2.2166956047317807
128,Coum_Library3_Col036,2.141628708729284
130,Coum_Library4_Col296,1.460152835612189
131,Coum_Library4_Col318,1.4573399688704178
132,Coum_Library4_Col364,1.579368931053162
133,Coum_Library4_Col631,1.4685698942184608
134,Coum_Library4_Col632,1.8407551296480826
135,Coum_Library4_Col666,2.072717361742804
136,Coum_Library3_Col606,1.640077756566917
137,Coum_Library3_Col611,1.433496082928118
138,Coum_Library3_Col621,1.028806435453648
139,Coum_Library3_Col634,1.4139028738184478
140,Coum_Library3_Col641,1.025609373180208
141,Coum_Library3_Col648,1.3595252752836824
142,Coum_Library3_Col650,1.2595165459783426
143,Coum_Library3_Col651,1.1811514638259444
144,Coum_Library3_Col668,1.7325322312524507
145,Coum_Library3_Col669,1.655615632484175
146,Coum_Library3_Col687,1.2854570321304006
147,Coum_Library3_Col688,1.1101743957213734
148,Coum_Library4_Col095,1.359053155632979
149,Coum_Library4_Col170,1.5217174832699036
151,Coum_Library1_Col504,2.0212420749174203
152,Coum_Library1_Col547,2.606858729212207
153,Coum_Library1_Col568,1.6509803758500667
154,Coum_Library1_Col593,1.008446557041524
155,Coum_Library1_Col614,1.433968092104609
157,Coum_Library1_Col677,1.7985332157573233
158,Coum_Library1_Col678,1.9458114711175
159,Coum_Library2_Col019,1.8219671957523538
160,Coum_Library2_Col034,2.6516456044816694
162,Coum_Library2_Col053,1.7213513651716514
163,Coum_Library2_Col060,1.7570614646489147
164,Coum_Library2_Col061,1.5316137598495918
165,Coum_Library2_Col077,1.23184350384077
166,Coum_Library2_Col083,1.1643967197609126
167,Coum_Library2_Col098,1.7812808075915472
168,Coum_Library2_Col154,1.7756205821879145
169,Coum_Library2_Col168,2.0482810187458997
170,Coum_Library2_Col209,1.5965199526191587
171,Coum_Library2_Col255,1.9123999679899766
172,Coum_Library2_Col264,1.675799852760051
173,Coum_Library2_Col279,1.8928536161810785
174,Coum_Library3_Col208,1.998921500957725
176,Coum_Library3_Col288,1.9925210003342069
177,Coum_Library3_Col308,2.3277217721089474
178,Coum_Library3_Col363,1.9860651057764898
179,Coum_Library3_Col368,1.7688598855545967
181,Coum_Library3_Col372,2.010038694903545
182,Coum_Library3_Col393,2.0218545145728166
183,Coum_Library3_Col403,1.7682230107042733
185,Coum_Library3_Col404,2.2227276688740187
186,Coum_Library3_Col411,1.810162842585246
187,Coum_Library3_Col412,1.8700749713848592
188,Coum_Library3_Col445,2.0550469234113047
189,Coum_Library3_Col466,2.300196488674612
190,Coum_Library3_Col522,1.8111315387946862
191,Coum_Library3_Col528,1.793457565037021
192,Coum_Library1_Col043,2.06135995041636
193,Coum_Library1_Col055,1.9329777230348844
194,Coum_Library1_Col093,2.3377069629678595
195,Coum_Library1_Col212,2.2103906600188776
196,Coum_Library1_Col213,2.558190246401983
197,Coum_Library1_Col253,1.7070422898235456
199,Coum_Library1_Col356,2.084759813166901
201,Coum_Library1_Col368,2.0368874807046358
202,Coum_Library1_Col371,2.053760522574311
203,Coum_Library1_Col373,1.9163217306290905
204,Coum_Library1_Col376,1.7054796511258234
205,Coum_Library1_Col391,1.883484138928461
206,Coum_Library1_Col421,1.4646410068396358
207,Coum_Library1_Col424,1.9528174583280238
208,Coum_Library1_Col425,1.7266781368327573
209,Coum_Library1_Col488,2.4756957000552275
210,Coum_Library2_Col316,2.1690721961364208
211,Coum_Library2_Col321,1.540277580431801
212,Coum_Library2_Col358,2.2371130183498518
213,Coum_Library2_Col369,2.072814179889604
214,Coum_Library2_Col434,2.3162711591074916
215,Coum_Library2_Col435,2.056419422862627
216,Coum_Library2_Col476,1.8093289644143906
217,Coum_Library2_Col485,1.6719198724406017
218,Coum_Library2_Col524,1.9598683377831358
219,Coum_Library2_Col592,1.8599707590560004
220,Coum_Library2_Col647,2.368127276709242
222,Coum_Library3_Col007,2.063404093940107
223,Coum_Library3_Col017,2.1828208145146983
224,Coum_Library3_Col036,1.9812403802595142
226,Coum_Library4_Col296,2.0291957177108904
227,Coum_Library4_Col318,2.083853957689482
228,Coum_Library4_Col364,2.1264187803367087
229,Coum_Library4_Col631,1.7942682781311756
230,Coum_Library4_Col632,1.8233749638627592
231,Coum_Library4_Col666,2.137786173818165
232,Coum_Library3_Col606,1.5275502583316767
233,Coum_Library3_Col611,1.3098867231593132
234,Coum_Library3_Col621,1.3422639177913533
235,Coum_Library3_Col634,1.9477620097670334
236,Coum_Library3_Col641,1.3871728506164265
237,Coum_Library3_Col648,1.761212117335595
238,Coum_Library3_Col650,1.394871594859729
239,Coum_Library3_Col651,1.2008217091620286
240,Coum_Library3_Col668,1.613625420638081
241,Coum_Library3_Col669,1.6036453861184672
242,Coum_Library3_Col687,1.561769818212423
243,Coum_Library3_Col688,1.52307768919338
244,Coum_Library4_Col095,1.4420630931660339
245,Coum_Library4_Col170,1.8441671329763818
247,Coum_Library1_Col504,1.9808416601851266
248,Coum_Library1_Col547,2.4805791986899686
249,Coum_Library1_Col568,1.7987323850677606
250,Coum_Library1_Col593,1.127055441255756
251,Coum_Library1_Col614,1.8786249062833946
253,Coum_Library1_Col677,2.0866370160774346
254,Coum_Library1_Col678,1.9339633304989408
255,Coum_Library2_Col019,1.8307364238890147
256,Coum_Library2_Col034,2.4581198698012154
258,Coum_Library2_Col053,1.828931272178707
259,Coum_Library2_Col060,1.7866767008395203
260,Coum_Library2_Col061,1.7958337012926022
261,Coum_Library2_Col077,1.224059615271151
262,Coum_Library2_Col083,1.15471373281572
263,Coum_Library2_Col098,1.7268101593983196
264,Coum_Library2_Col154,1.6936036309253995
265,Coum_Library2_Col168,1.970845315114093
266,Coum_Library2_Col209,1.5659222041082739
267,Coum_Library2_Col255,2.123635508346757
268,Coum_Library2_Col264,1.6146409326209803
269,Coum_Library2_Col279,1.9249746758695907
270,Coum_Library3_Col208,1.9285806133940002
272,Coum_Library3_Col288,1.8683259649930544
273,Coum_Library3_Col308,2.2270595495806376
274,Coum_Library3_Col363,1.8991801217624205
275,Coum_Library3_Col368,1.8381071002318157
277,Coum_Library3_Col372,1.943503714449845
278,Coum_Library3_Col393,1.9877454757141106
279,Coum_Library3_Col403,1.7759706460707958
281,Coum_Library3_Col404,2.1326108859934303
282,Coum_Library3_Col411,1.7307850826563635
283,Coum_Library3_Col412,1.7588114388457008
284,Coum_Library3_Col445,1.9795237341195149
285,Coum_Library3_Col466,2.3240750751714985
286,Coum_Library3_Col522,1.7018993859380827
287,Coum_Library3_Col528,1.8172140593422208
288,Coum_Library1_Col043,2.112940343107813
289,Coum_Library1_Col055,1.8732390428827355
290,Coum_Library1_Col093,2.4422721507821303
291,Coum_Library1_Col212,2.311646382989315
292,Coum_Library1_Col213,2.5309149023915163
293,Coum_Library1_Col253,1.7499191360934667
295,Coum_Library1_Col356,2.276374261479717
297,Coum_Library1_Col368,2.0242864869254626
298,Coum_Library1_Col371,2.0183968459002335
299,Coum_Library1_Col373,1.9299322636816532
300,Coum_Library1_Col376,1.7234474709723338
301,Coum_Library1_Col391,1.9351244318433107
302,Coum_Library1_Col421,1.531287680111401
303,Coum_Library1_Col424,2.0601015754633165
304,Coum_Library1_Col425,1.7055288470325962
305,Coum_Library1_Col488,2.779382348617732
306,Coum_Library2_Col316,2.2501464432717553
307,Coum_Library2_Col321,1.6367988657105526
308,Coum_Library2_Col358,2.448294741385933
309,Coum_Library2_Col369,2.096934355212514
310,Coum_Library2_Col434,2.4119463996559545
311,Coum_Library2_Col435,2.2315572567279527
312,Coum_Library2_Col476,1.7983011380147043
313,Coum_Library2_Col485,1.6826171631686464
314,Coum_Library2_Col524,2.0131087797208416
315,Coum_Library2_Col592,1.9137255967505526
316,Coum_Library2_Col647,2.6640366292979127
318,Coum_Library3_Col007,2.1948694344200335
319,Coum_Library3_Col017,2.3291333259244364
320,Coum_Library3_Col036,1.9756885585509596
322,Coum_Library4_Col296,2.023891236243552
323,Coum_Library4_Col318,2.0909054275346373
324,Coum_Library4_Col364,2.1734549911092143
325,Coum_Library4_Col631,1.8737560369045294
326,Coum_Library4_Col632,1.9111273172418601
327,Coum_Library4_Col666,2.121334281223807
328,Coum_Library3_Col606,1.5213227262421667
329,Coum_Library3_Col611,1.3034066168700567
330,Coum_Library3_Col621,1.2800875744575477
331,Coum_Library3_Col634,2.0394105259725244
332,Coum_Library3_Col641,1.364425443280074
333,Coum_Library3_Col648,1.8033121789634208
334,Coum_Library3_Col650,1.411442998365069
335,Coum_Library3_Col651,1.2325440092069861
336,Coum_Library3_Col668,1.6298205123727871
337,Coum_Library3_Col669,1.5945670810278467
338,Coum_Library3_Col687,1.602541030574059
339,Coum_Library3_Col688,1.5420837228485118
340,Coum_Library4_Col095,1.5118469787041657
341,Coum_Library4_Col170,1.9105175761924007
343,Coum_Library1_Col504,2.0758134671112116
344,Coum_Library1_Col547,2.457558481426976
345,Coum_Library1_Col568,1.7876209412727806
346,Coum_Library1_Col593,1.1095754302699727
347,Coum_Library1_Col614,2.025374486983036
349,Coum_Library1_Col677,2.4026337457341973
350,Coum_Library1_Col678,1.9964913164231288
351,Coum_Library2_Col019,1.9062491011695086
352,Coum_Library2_Col034,2.4275153757740404
354,Coum_Library2_Col053,1.878544991226392
355,Coum_Library2_Col060,1.8407100124998859
356,Coum_Library2_Col061,1.8345892372113526
357,Coum_Library2_Col077,1.272472986886415
358,Coum_Library2_Col083,1.1605189616571416
359,Coum_Library2_Col098,1.8297744621878955
360,Coum_Library2_Col154,1.6168046055693248
361,Coum_Library2_Col168,1.9540903940828502
362,Coum_Library2_Col209,1.6460039778293014
363,Coum_Library2_Col255,2.204140229363349
364,Coum_Library2_Col264,1.6225243038394985
365,Coum_Library2_Col279,1.9910957827659856
366,Coum_Library3_Col208,2.0118410568541427
368,Coum_Library3_Col288,1.8834281827952455
369,Coum_Library3_Col308,2.183624701665622
370,Coum_Library3_Col363,1.8900801464432355
371,Coum_Library3_Col368,1.8434879240562785
373,Coum_Library3_Col372,1.9922059240236871
374,Coum_Library3_Col393,2.064344802126217
375,Coum_Library3_Col403,1.812530971090052
377,Coum_Library3_Col404,2.1130938775569867
378,Coum_Library3_Col411,1.7075120227306628
379,Coum_Library3_Col412,1.7533927975900023
380,Coum_Library3_Col445,1.9672151968542382
381,Coum_Library3_Col466,2.492088270436437
382,Coum_Library3_Col522,1.7852684253731859
383,Coum_Library3_Col528,1.9235121997834237
