,Atha_C4H.orf,Atha_CPR1.orf,Atha_PAL1.orf,Ec_AROL.orf,Sc_ARO1.orf,Sc_ARO2.orf,Sc_ARO4_OFP.orf_0001,Sc_ARO8.orf_0001,Sc_ENO2.orf,Sc_FBA1.orf,Sc_GND1.orf,Sc_GND2.orf,Sc_PHA2.orf,Sc_RKI1.orf_0002,Sc_SOL3.orf_0001,Sc_SOL4.orf,Sc_TKL1.orf_0001,Sc_YHM2.orf,Sc_ZWF1.orf
Coum_Library1_Col275,5.208569578277678,4.495607940553331,5.068931757807924,4.54247450454365,0.0,4.58471086895187,2.9255478788689,4.27077192556323,0.0,0.0,0.0,0.0,0.0,4.28433067876482,0.0,0.0,4.27077192556323,0.0,0.0
Coum_Library4_Col009,5.208569578277678,4.495607940553331,5.301774587857065,4.54247450454365,0.0,0.0,2.9255478788689,4.27077192556323,0.0,4.19359602421655,4.837731946586496,0.0,4.58471086895187,4.66543134180047,0.0,5.205552565356442,4.48918487694287,4.647874866388481,0.0
Coum_Library4_Col166,5.208569578277678,4.495607940553331,4.887218015751893,4.54247450454365,4.45864804708195,0.0,2.9255478788689,0.0,4.66543134180047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.647066113786595,4.45864804708195,5.09066053437317
Coum_Library1_Col568,5.208569578277678,4.8434705271522205,4.887218015751893,4.54247450454365,4.54247450454365,4.54247450454365,2.9255478788689,0.0,0.0,4.28433067876482,0.0,0.0,4.27077192556323,0.0,0.0,0.0,4.27077192556323,0.0,0.0
Coum_Library3_Col663,5.454634295969517,4.495607940553331,4.887218015751893,4.54247450454365,0.0,0.0,2.9255478788689,0.0,0.0,0.0,0.0,0.0,4.45864804708195,5.09066053437317,4.28433067876482,0.0,0.0,0.0,0.0
Coum_Library3_Col645,5.208569578277678,4.495607940553331,5.0510971793342625,4.54247450454365,0.0,0.0,2.9255478788689,4.19359602421655,0.0,0.0,0.0,4.90452256969246,4.45864804708195,0.0,4.6028417006994,0.0,4.66543134180047,0.0,0.0
Coum_Library1_Col629,5.208569578277678,4.495607940553331,5.0492213851422125,4.54247450454365,0.0,0.0,2.9255478788689,4.48918487694287,0.0,4.58471086895187,4.19359602421655,4.966461337464451,4.45864804708195,0.0,4.6028417006994,0.0,4.732479056638193,0.0,0.0
Coum_Library1_Col417,5.304748488056214,4.495607940553331,4.887218015751893,4.54247450454365,0.0,4.66543134180047,2.9255478788689,0.0,0.0,0.0,0.0,0.0,4.54247450454365,4.696005593776429,0.0,0.0,0.0,0.0,0.0
Coum_Library4_Col664,5.454634295969517,4.495607940553331,4.887218015751893,4.54247450454365,0.0,4.48918487694287,2.9255478788689,4.45864804708195,0.0,0.0,0.0,0.0,4.45864804708195,4.647066113786595,4.6028417006994,4.66543134180047,4.45864804708195,0.0,0.0
Coum_Library1_Col010,5.208569578277678,4.495607940553331,4.887218015751893,4.54247450454365,3.98171936647388,4.27077192556323,2.9255478788689,0.0,0.0,0.0,0.0,4.58471086895187,3.98171936647388,0.0,0.0,0.0,4.6028417006994,0.0,0.0
Coum_Library3_Col641,5.208569578277678,4.495607940553331,4.887218015751893,4.54247450454365,0.0,4.54247450454365,2.9255478788689,4.27077192556323,0.0,0.0,0.0,0.0,4.681207222692074,0.0,4.542358633891378,4.66543134180047,3.98171936647388,4.27077192556323,0.0
Coum_Library1_Col662,5.208569578277678,4.495607940553331,5.068931757807924,4.54247450454365,4.45864804708195,0.0,2.9255478788689,4.694596471345018,0.0,0.0,0.0,3.98171936647388,0.0,4.28433067876482,4.944819631075142,4.927973804236592,0.0,4.73277503858907,5.09066053437317
Coum_Library1_Col116,5.301206501961868,4.495607940553331,5.0492213851422125,4.54247450454365,0.0,0.0,2.9255478788689,4.58471086895187,0.0,0.0,0.0,3.98171936647388,0.0,0.0,0.0,0.0,0.0,4.6758211560466325,0.0
Coum_Library3_Col132,5.208569578277678,4.495607940553331,4.887218015751893,4.54247450454365,0.0,4.54247450454365,2.9255478788689,0.0,0.0,0.0,0.0,0.0,4.54847060365979,0.0,0.0,0.0,4.48918487694287,4.28433067876482,0.0
Coum_Library2_Col264,5.454634295969517,4.495607940553331,5.18343421145338,4.54247450454365,3.98171936647388,4.58471086895187,4.673265241568443,4.54247450454365,0.0,0.0,4.843388629555359,0.0,4.66543134180047,0.0,4.27077192556323,0.0,4.45864804708195,4.58471086895187,0.0
Coum_Library2_Col680,5.293405715226805,4.495607940553331,5.301774587857065,4.54247450454365,4.54247450454365,0.0,2.9255478788689,4.28433067876482,5.09066053437317,4.542358633891378,0.0,4.66543134180047,0.0,4.28433067876482,0.0,0.0,4.66543134180047,0.0,5.09066053437317
Coum_Library2_Col101,5.208569578277678,4.495607940553331,4.887218015751893,4.54247450454365,4.48918487694287,4.58471086895187,2.9255478788689,0.0,0.0,0.0,0.0,0.0,4.27077192556323,4.9119064937798935,0.0,0.0,0.0,0.0,0.0
