,Strain_1
accoa_c,999.058455535091
nadh_c,41.6857190260769
acald_c,4261.8536976096
nad_c,2492.97298762956
coa_c,75.9352824262937
h_c,0.0316257952389592
acon_C_c,27.214865337556
cit_c,1026.2192331421
icit_c,61.6793290654765
amp_c,436.02524606781
ppi_c,479.949844558878
ac_c,264.916396632417
atp_c,5886.90948012374
co2_c,8.25267624322165
succoa_c,527.985738682546
akg_c,225.666530950719
etoh_c,2629.03012137683
adp_c,9632.23040708489
pi_c,3047.39839424227
oaa_c,0.203060916879982
q8_c,7230.49446353962
o2_c,0.00026524333196006
q8h2_c,0.0360275741702925
lac_D_c,0.16992320544356
pep_c,8654.83373110493
_2pg_c,384.907283123546
dhap_c,4236.63662345284
g3p_c,357.71659975455
fdp_c,10697.1842452258
e4p_c,65.2584087780126
s17bp_c,92.0938731899414
f6p_c,3735.40408831097
for_c,7.07531527429201
mal_L_c,1938.29136960996
fum_c,7785.00668990872
nadph_c,200.888659376958
_6pgl_c,1.83720335737853
nadp_c,0.151763551527894
g6p_c,5841.87937129139
_13dpg_c,38.2350455878155
pyr_c,2473.85059425212
ru5p_D_c,6500.70578618043
_6pgc_c,3798.32597197532
glx_c,1.53545230271823
succ_c,219.8871823047
r5p_c,287.758219362534
s7p_c,724.703644189118
_3pg_c,202.213697112911
xu5p_D_c,693.801750950962
aacoa_c,0.00055258180042969
hmg_coa_c,0.000187698531985961
meva_c,2.87731777976717E-07
idpp_c,644.508805882648
meva_p_c,1.09079933700048E-06
meva_pp_c,3.10610446343273E-09
